,joy,sadness,disgust,contempt,anger,fear,surprise,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,lidTighten,jawDrop,dimpler,eyeWiden,cheekRaise,lipStretch,pain
0,100,0,0,0,0,0,1,91,100,99,0,1,0,1,14,0,2,0,0,0,38,0,0,92,0,1,0,0,1,5,0
1,5,0,0,0,0,0,0,42,100,87,0,0,100,21,0,0,0,0,7,1,8,12,0,94,10,0,0,0,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0
3,100,0,0,0,0,0,2,47,100,100,0,0,0,5,72,0,5,0,32,0,96,0,6,99,0,1,0,0,87,0,0
4,0,0,0,0,0,0,1,-21,3,0,60,17,0,0,0,0,0,25,11,34,0,0,0,70,0,0,15,0,0,3,0
5,0,0,0,98,0,0,0,-19,48,0,0,11,0,0,0,0,3,8,88,7,0,94,0,97,0,0,13,12,0,0,0
6,87,0,0,0,0,0,0,74,99,81,0,0,24,0,0,0,4,0,1,0,61,0,0,42,0,2,1,0,8,0,1
7,0,0,35,0,0,0,0,-54,40,0,0,0,0,52,0,42,5,3,8,0,7,0,0,64,0,1,1,0,0,0,1
8,0,45,99,0,43,0,0,-14,100,24,45,0,100,84,0,0,0,0,8,0,20,1,42,93,100,0,0,0,100,47,1
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
10,0,18,7,0,0,0,0,-26,98,0,87,1,18,3,0,0,2,0,8,0,5,0,0,99,0,0,2,0,0,0,1
11,0,0,0,0,0,0,20,0,68,2,0,85,0,0,1,0,0,25,1,0,5,0,0,82,0,5,0,38,0,0,0
12,67,0,91,0,13,0,0,0,100,100,22,0,100,85,45,22,94,0,16,5,100,0,0,92,97,98,0,0,18,0,1
13,0,0,0,0,0,0,0,-38,46,0,1,0,0,0,0,0,0,0,98,56,0,0,0,88,0,0,79,0,0,0,0
14,0,0,3,0,0,0,27,-30,74,0,0,15,0,0,0,56,0,1,0,0,100,0,0,95,0,100,0,1,0,0,0
15,0,0,0,0,0,0,32,-12,84,0,25,98,0,0,0,25,0,21,0,0,0,0,0,85,0,4,0,0,3,0,0
16,0,0,84,0,0,0,0,-36,34,9,0,0,35,84,0,0,0,0,0,0,7,0,0,93,35,0,0,0,0,0,1
17,0,98,1,1,0,0,0,-100,99,0,72,0,70,9,0,100,0,1,0,1,1,0,0,98,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,0,0,0,10,2,0,0,3,0,0,3,2,0,4,0,0,77,0,1,1,0,0,0,0
